Date,Open,High,Low,Close
1/4/21,2092.25,2135.75,2091.43,2129.78
31/3/21,2054.4,2086.26,2047,2062.52
30/3/21,2052.98,2062.67,2036.15,2046.47
29/3/21,2022.16,2049.21,2005.45,2045.79
26/3/21,2031.79,2039.385,2003.85,2024.73
25/3/21,2029.05,2045.64,1996.09,2032.46
24/3/21,2051.76,2067.6,2029.0001,2032.53
23/3/21,2039.95,2064.11,2028.0001,2041.33
22/3/21,2027.63,2048.34,2014,2030.69
19/3/21,2029.73,2037.04,2002.93,2026.96
18/3/21,2048.18,2068.746,2019.18,2021.34
17/3/21,2068.47,2099,2044.1218,2082.22
16/3/21,2065.99,2113.68,2059.29,2083.89
15/3/21,2044.975,2054.99,2027.79,2054.44
12/3/21,2076.41,2077.61,2032.42,2050
11/3/21,2058.22,2111.27,2056.45,2100.54
10/3/21,2061.4,2061.4,2019.33,2036.19
9/3/21,2049.75,2063.9153,2035.6,2040.36
8/3/21,2084.06,2113.74,2005.19,2007.5
5/3/21,2061.15,2106.2,2027.7773,2097.07
4/3/21,2014.869,2074.59,2005.43,2033.93
3/3/21,2051.95,2075.99,1994,2011.41
2/3/21,2064.84,2094.74,2056.67,2064.48
1/3/21,2048,2076.23,2034.42,2069.66
26/2/21,2029.95,2056.52,2001.01,2021.91
25/2/21,2055.93,2083,2006.49,2015.95
24/2/21,2030.04,2088.32,2027.53,2083.81
23/2/21,2013.99,2072.5,1990.23,2060.12
22/2/21,2053.6,2080.33,2048,2054.26
19/2/21,2107.79,2118.58,2083.43,2088.81
18/2/21,2105,2121.99,2093.33,2105.81
17/2/21,2093.98,2122.4434,2088.35,2118.62
16/2/21,2091.75,2145.14,2091.75,2110.7
12/2/21,2079.77,2099.5,2073.57,2095.03
11/2/21,2091,2094,2068.86,2088.75
10/2/21,2083.14,2098.88,2052.24,2086.48
9/2/21,2074.8,2098.51,2070,2075.39
8/2/21,2100,2115,2063.35,2084.52
5/2/21,2059.56,2095.94,2050,2088.83
4/2/21,2060.6156,2069.3,2035.1,2053.63
3/2/21,2065.61,2106.6234,2013.55,2058.88
2/2/21,1913.13,1949.37,1906.37,1919.12
1/2/21,1844.585,1915.54,1844.585,1893.07
29/1/21,1834.02,1847.535,1801.5601,1827.36
28/1/21,1831,1887.99,1831,1853.2
27/1/21,1874.91,1880.47,1797.28,1818.94
26/1/21,1885.99,1915.75,1876.13,1907.95
25/1/21,1912.74,1921.82,1859.16,1894.28
22/1/21,1891.46,1904.39,1876.495,1892.56
21/1/21,1893.65,1932.08,1879.41,1884.15
20/1/21,1826.37,1899.7234,1819.51,1880.07
19/1/21,1743,1803.84,1732.83,1784.47
15/1/21,1729.02,1747.62,1711.71,1727.62
14/1/21,1748.87,1767.5499,1726.07,1730.92
13/1/21,1727.32,1756.39,1727.32,1747.25
12/1/21,1745.36,1767.9,1716.375,1737.43
11/1/21,1777.02,1784.38,1752.14,1756.29
8/1/21,1777.16,1799.355,1761.22,1797.83
7/1/21,1726.76,1777.82,1726.76,1774.34
6/1/21,1700.255,1743.965,1696.1014,1722.88
5/1/21,1725.09,1746.83,1716.9,1740.05
4/1/21,1760,1762.4899,1707.14,1726.13
31/12/20,1737.27,1757.5,1736.09,1752.64
30/12/20,1765,1767.76,1728,1736.25
29/12/20,1787.23,1788.47,1755.11,1757.76
28/12/20,1744.91,1787,1741.82,1773.96
24/12/20,1729,1742.41,1724.35,1734.16
23/12/20,1723.93,1744.11,1721.2,1728.23
22/12/20,1729.33,1732.6123,1705.78,1720.22
21/12/20,1709.13,1737,1694,1734.56
18/12/20,1746.1702,1748.36,1715,1726.22
17/12/20,1763.93,1766.71,1731.15,1740.51
16/12/20,1769.11,1769.11,1749.06,1757.19
15/12/20,1759.86,1764,1741.67,1761.08
14/12/20,1770.72,1789.8,1749.13,1752.26
11/12/20,1760,1777.31,1752.74,1774.8
10/12/20,1762.6,1774.99,1733.527,1767.65
9/12/20,1810.36,1828.37,1762.0001,1777.86
8/12/20,1808.52,1815.97,1791.28,1811.33
7/12/20,1815.55,1829.29,1803.04,1817.03
4/12/20,1820.22,1829.4994,1813.59,1823.76
3/12/20,1820.54,1843.83,1817,1821.84
2/12/20,1795.36,1832.74,1785.1695,1824.97
1/12/20,1766.655,1821.7199,1763.03,1795.36
30/11/20,1775.65,1780.335,1747.84,1754.4
27/11/20,1764.54,1797.01,1764.54,1787.02
25/11/20,1767.81,1770.38,1748.36,1764.13
24/11/20,1727.5,1766.475,1720.73,1763.9
23/11/20,1740.22,1745.99,1710.18,1727.56
20/11/20,1762,1768.3625,1735,1736.38
19/11/20,1733.23,1763.49,1730.02,1758.57
18/11/20,1756.64,1765,1738.5658,1740.64
17/11/20,1767.86,1777.14,1759.49,1761.66
16/11/20,1764.14,1794.34,1761.33,1774.03
13/11/20,1748,1777.13,1735.98,1772.26
12/11/20,1742,1764.98,1737.97,1742.82
11/11/20,1748.4,1762.9,1743.06,1747.23
10/11/20,1729.77,1759.38,1716.12,1737.72
9/11/20,1795.98,1816.89,1757.545,1761.42
6/11/20,1751.34,1768.495,1736.68,1759.73
